id,organization_id,title,description,mode,location_city,location_state,location_lat,location_lng,is_remote,causes,skills_needed,accessibility,tags,min_duration_min,rsvp_url,contact_email
a637fd08-c3f9-47fb-a7a8-387a6bb19f93,2,Community Support,Understand week model necessary time finally bring. Herself purpose nation bring wear. For always result whom. Democrat because usually think allow strong throughout. Maintain left avoid crime open west fact.,in_person,Stevensport,PR,34.813888,-67.423778,f,"{animal-welfare,elder-care}","{data-entry,graphic-design}",{wheelchair},"{weekday-evening,remote-ok,family-friendly}",90,http://www.vazquez.org/,ramirezjacqueline@example.org
0151cecc-c147-48e3-acf4-f24a0878f78f,2,Clinic Support,Most night second firm control. Cup head face task newspaper fire. Government choose establish people room. Ten skin opportunity seven political shake third.,in_person,Port Arthur,WI,27.379444,-78.416812,f,"{health,environment}","{mentoring,graphic-design,event-staff}",{closed-caption},"{weekday-evening,remote-ok}",60,http://www.greene.biz/,petersonlauren@example.net
5710b734-1392-42a8-a081-902e6133c2dc,3,Shelter Support,Subject beat kind ever. Course difference major perhaps glass idea. Loss fall eight usually. Degree enter successful anyone interesting. Age through improve onto.,hybrid,Yolandaberg,MT,26.977272,-80.234958,t,{animal-welfare},"{web-dev,graphic-design}",{closed-caption},"{weekday-evening,family-friendly}",180,http://west.biz/,jgalvan@example.org
aa45a65a-9584-4347-9d95-5f840164a91b,3,Clinic Support,Smile make change wish early why lose. Least example thus because fire. Else nearly hope return. Return economy close act kitchen go.,in_person,Julianside,SC,30.747626,-115.677102,f,{animal-welfare},{web-dev},{},"{weekday-evening,family-friendly,weekend}",90,https://norris.com/,craigfernandez@example.net
dd595b8a-2315-48e3-8354-123822b5b72f,3,Park Cleanup,Minute strategy charge wish from only gas. Kind himself book least soon upon writer.,virtual,,,,,t,{health},{graphic-design},{},"{skills-based,remote-ok,weekend}",90,https://nguyen.com/,wrightaaron@example.com
9f0d3b8b-43e9-4130-aeab-594626d9591d,5,STEM Mentoring,Action anyone film walk clearly. Huge hour peace rather term. East safe page perhaps his doctor still. Best scene amount improve.,in_person,West Lisaport,IA,25.793269,-77.888414,f,"{animal-welfare,elder-care}",{data-entry},{step-free},"{weekday-evening,remote-ok,skills-based}",180,https://smith-morris.com/,austinkelli@example.org
afcad70d-a19a-42b0-ba7b-59ea0e6a6a1f,2,Community Mentoring,Thank whether machine decision arm himself. Course he evidence test. Try real general rest plant tend reduce.,virtual,,,,,t,"{education,elder-care}","{data-entry,web-dev,event-staff}","{step-free,closed-caption}",{family-friendly},120,http://www.gregory.com/,gatesdavid@example.net
5ba614e3-8528-4a35-b3da-522397cf1f3b,4,Clinic Workshop,Produce thus wear. Strong head person. Still method sometimes recent head. No safe thus would involve politics own.,hybrid,Port Kiara,MH,26.994324,-117.432234,t,"{food-security,education}","{mentoring,fundraising,graphic-design}",{step-free},"{family-friendly,weekend}",90,https://evans-hall.com/,jimmymason@example.com
03a0c1c8-44e7-422e-8089-ccade9b01ed1,4,Clinic Cleanup,Front blood person street. Artist total still everybody radio matter see.,hybrid,West Cindyview,MI,32.941426,-122.583448,t,"{food-security,animal-welfare}","{graphic-design,event-staff}","{step-free,wheelchair}","{weekday-evening,skills-based}",60,http://www.potts-turner.com/,gsmith@example.com
d6a2e50f-816a-4cc3-bca7-6327e823613e,3,Shelter Cleanup,Assume hundred we hand everybody group. Prevent movie less point still wish. Lot law paper design fast teach. Put street standard situation front party arrive.,in_person,Stacytown,NV,30.870626,-119.381644,f,"{food-security,elder-care}","{data-entry,web-dev,mentoring}","{quiet-space,closed-caption}",{remote-ok},90,https://hall-carey.com/,patricia52@example.net
